ClusterID;Cluster mnemonic;Cluster size;Paper ID;Title;Authors;Institutions;Page count;Reviewer names;Additional papers in the cluster;Source;Snowballing round;Collaboration subject;Notes about M1/M2 (private attribute);Editor type flexibility/agility;Tool support - CLIENT;Client type;View support;Multi-views;Language-specific;Modeling framework;UML diagrams;System domain;System domain type;System parts;Language(s) custo- mization support;Validation support;Reuse support;Roles;Collaborating parties;Collaboration types;Collaboration workflow;Consistency model;Unit of sync;Locking;Versioning support;VCS architecture;External VCS means;Branching;Model merging support;Diff/merge domain;Conflict mgmt approach;Conflict detection;Conflict awareness (User);Conflict resolution support;Shared workspace;Network architecture;Communication type;Communication means - builtin;Communication means - external;Communication means - mixed;Communication means links;Design decision: discussion;Design decision: session history;Stakeholder types;Approach-specific stakeholders;Workspace awareness;Workspace awareness score;Limitations and challenges;Future work;Keywords;Venue;Venue (complete name);Year;Publisher;Publication type;Citations (Google scholar);References;Collaboration goals;Modeling purposes;Prescribed SE activities;Evaluation;Readiness level (value);Readiness level (range);Tool availability;Quality of the research;Notes;;;;;;;;;;;;;;;;;;;;
C24;ModelDeltas;3;S7;Delta-driven collaborative modeling;Maik Appeldorn, Dilshod Kuryazov, Andreas Winter ;University of Oldenburg;10;Kousar;S5, S6;;;M1, M2;;GRA;INS;DESKTOP;PROJECTIVE;MULTI-USER SINGLE-VIEW;UML;EMF;Class diagram, activity diagrams;Generic;Generic;Generic;NO;NO;;Modeler;HUMAN-HUMAN;REAL-TIME, OFF-LINE AUTOMATED CHANGE PROPAGATION;YES;STRONG EVENTUAL;STATE;NO;EXTERNAL: GENERIC VCS;Centralized;SVN, Git;No;YES;SYNTACTIC;NO;NO;NO;NO;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;NO;commit messages;NO;NO;NO;NO;Tech;NO;NO;Low;not discussed ;to implement conflict detection;;COMMitMDE;3rd International Workshop on Collaborative Modeling in MDE;2018;IEEE;W;2;36;;Generic;;VALI;;;YES;4.5;"-0.5 no rigorous validation
-1 limitations unclear 
";;;;;;;;;;;;;;;;;;;;
C25;MetaEdit+;2;S48;Collaborative Modelling with Version Control;Kelly S;MetaCase;10;Istvan;S49;;1;M1;;GRA, TREE, TAB;INS;DESKTOP;PROJECTIVE;MULTI-USER SINGLE-VIEW;NO;Custom;N/A;Generic;Generic;Generic;import;rules;;Modeler;HUMAN-HUMAN;OFF-LINE AUTOMATED CHANGE PROPAGATION;NO;STRONG EVENTUAL;CHANGE;PESSIMISTIC: partLock;EXTERNAL: GENERIC VCS;Distributed;Git, SVN;MULTI-BRANCHING;NO;N/A;ALLOW&RESOLVE;YES;NO;SEMIAUTOMATED;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;Comments, annotations;NO;Commit messages;Comments, annotations, commit messages;NO;YES;Tech;NO;VCS, HCE;High;not discussed ;not discussed;git, svn, version control, mixed collaboration, no merge;STAF;Workshop (unclear which one) at the Software Technologies: Applications and Foundations;2017;Springer;W;5;16;;;;VALI;;;YES;3.0;VALI: Proto;;;;;;;;;;;;;;;;;;;;
C26;Chatbots;5;S16;Collaborative Modeling and Group Decision Making Using Chatbots in Social Networks;Perez-Soler S, Guerra E, de Lara J;Universidad Autonoma de Madrid;7;Istvan;S51, S18, S52, S62;;1;M1;;TEX, GRA;RTU;MOBILE;SYNTHETIC;MULTI-USER SINGLE-VIEW;NO;Custom;Class diagram;Generic;Generic;Domain;NO;rules;;Business stakeholder, modeler, software engineer;HUMAN-MACHINE, HUMAN-HUMAN;REAL-TIME;NO;STRONG;CHANGE;NO;NO;N/A;N/A;NO;NO; N/A;PREVENTIVE;YES;NO;NO;REMOTE;MIXED;SYNCHRONOUS;Chat, Natural language, commands, Audio;commit messages, Email;NO;Chat, commands, natural language;Natural language, Audio;YES;NonTech, Tech;Bot;UpEd, Ntf;High;no coordination mechanisms, no commands to change the reference cardinalities, no undo, direct edit commands are prohibited;"Slang and abbreviations in NLP; extending the technique to model quality monitoring and refactoring suggestions; customizable collaboration protocols for different styles of decision making (based on votings, or roles)";collaborative modeling, social networks, chatbots, decision making;IEEE SW;IEEE Software;2018;IEEE;J;34;11;"""initial stages of development generally involve heterogeneous partners that have diverse backgrounds and are likely distributed. In this context, the participation of domain experts is essential for building successful domain models""; ""Given that large-scale collaboration is often the norm in software projects, modeling tools should provide handy and scalable means for discussion and collaboration.""";Constructing domain models via NLP;;EVAL, VAL_EXP;;;YES;6.0;;;;;;;;;;;;;;;;;;;;;
C27;Blockchains;2;S43;Decentralized Business Process Modeling and Instance Tracking Secured By a Blockchain;Harer F;Universite de Fribourg;18;Istvan;S53;;1;M1;;GRA;INS;DESKTOP;SYNTHETIC;MULTI-VIEW SINGLE-MODEL;BPMN, SOM IAS;Custom;N/A;Specific;Business applications;Business logic;NO;NO;;Busines process modeler;HUMAN-HUMAN;OFF-LINE AUTOMATED CHANGE PROPAGATION;NO;STRONG;CHANGE;NO;EXTERNAL: GENERIC VCS;Distributed;Git;MULTI-BRANCHING;YES;SYNTACTIC;ALLOW&RESOLVE;YES;WARNING;MANUAL;REMOTE;CENTRALIZED: MULTIPLE SERVERS, P2P;ASYNCHRONOUS;NO;NO;NO;NO;NO;NO;Tech;Business process modeler, Internal and external stakeholders;VCS;Low;expressive power of the modeling languages, lack of guarantees of collaborative business process properties;integration with a meta-modeling platform;process modeling, blockchain;ECIS 2018;Twenty-Sixth European Conference on Information Systems;2018;Association for Information Systems;C;26;49;Business process and workflow modeling;Collaborative modeling of business processes and workflows;;VALI;;;YES;3.0;"The blockchain is used to ensure integrity by design; and provide advanced security. Git is used for collaboration, primarly; and a blockchain is used to store the version information: on every new version, a new block is created. VALI: Prototyping.";;;;;;;;;;;;;;;;;;;;
C6;GDM;3;S61;A Formalization of Group Decision Making in Multi-viewpoints Design;Bennani S, El Kouch IA, El Hamlaoui M, Ebersold S, Coulette B, Nassar M;Mohammed V University in Rabat, University of Toulouse Jean Jaures, ENSIAS;14;Istvan;S59, S60;;2;M1;;TEX, TAB;INS;BROWSER;SYNTHETIC;MULTI-USER SINGLE-VIEW;NO;EMF;N/A;Generic;Generic;Generic;import;rules;;Modeler;HUMAN-HUMAN;OFF-LINE AUTOMATED CHANGE PROPAGATION;YES;EVENTUAL;CHANGE;NO;NO;N/A;N/A;NO;NO;N/A;NO;NO;NO;NO;SamePlace;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;Proposals;commit messages;NO;Proposals;Proposals;YES;Tech;NO;ConflictList;High;not discussed ;"automation of decision making based on the proposals and the collaboration characteristics; extension to collaborative settings other than SW";decision making, proposals;CIS;Journal of Computer and Information Science;2020;Canadian Center of Science and Education;J;1;21;Decision making in a collective fashion about inter-model relationships;;;VALI;;;YES;2.0;"VALI: Proto. ""ConflictList"" in workspace awareness is a proposal list.";;;;;;;;;;;;;;;;;;;;
C5;Zerrouk;2;S9;Managing model conflicts in collaborative modeling using Constraint Programming;Manar Zerrouk, Adil Anwar, Imade Benelallam;University in Rabat, Morocco;7;Kousar;S10;;;M1;;NO;NO;DESKTOP;SYNTHETIC;MULTI-USER SINGLE-VIEW;UML;Custom;Class diagram;Generic;Generic;Generic;NO;rules;;Modeler,  Coordinator ;HUMAN-HUMAN;REAL-TIME;YES;EVENTUAL;CHANGE;NO;NO;N/A;N/A;NO;NO;N/A;PREVENTIVE;YES: INCREMENTAL;PROMPT ACTION;SEMIAUTOMATED;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;ConflictsList;NO;NO;NO;Suggestions from approach;NO;Tech;Developer, Coordinator;ConflictList;Med;tool support not available, only synthetic example given as validation of approach;to implement and validate the tool ;collaborative modeling, model evolution, concurrent modifications, nconsistency problems, constraint satisfaction problem;CIST;Colloquium in Information Science and Technology;2018;IEEE;C;0;21;to manage inconsistencies in context of collaborative modeling, using constraint satisfaction problem;Generic;;VALI;;;NO;5.0;no rigorous validation ;;;;;;;;;;;;;;;;;;;;
C9;Crosside;1;S68;Sketching by Cross-Surface Collaboration;Perez-Medina JL, Vanderdonckt J;Universidad de Las Americas (UDLA), Universite catholique de Louvain (UCL);12;Istvan;-;;2;M1;M2 is loosely defined (2D geometry);GRA;RTU;BROWSER, MOBILE, DESKTOP;SYNTHETIC;MULTI-USER SINGLE-VIEW;NO;Custom;N/A;Generic;Generic;UI;NO;NO;;UI designer;HUMAN-HUMAN;REAL-TIME;YES;STRONG;STATE;NO;NO;N/A;N/A;NO;NO;N/A;NO;NO;NO;NO;REMOTE;CENTRALIZED: SINGLE SERVER;SYNCHRONOUS;Comments, notes;Face-to-Face;NO;Notes;Comments;NO;Tech, NonTech;UI designer;NO;Low;"collaboration mainly achieved by virtual co-location; since models are semi-formal, automated mechanisms are lacking";"linking UIs designed using this method to the rest of software development processes; experimental studies";sketching, UI design;ICITS 2019;International Conference on Information Technology & Systems;2019;Springer;C;7;21;UI development with the user-in-the-loop;Prototyping;;EVAL;;;YES;3.0;"This is a collaboration between the UI designer and the end-user. Sometimes multiple parallel sketching sessions can happen; it's unclear how merging of multiple parallel sketching sessions is carried out. EVAL: controlled experiments. Limitations not discussed. ";;;;;;;;;;;;;;;;;;;;
C11;FLAME;2;S13;Continuous Analysis of Collaborative Design;Jae young Bang, Yuriy Brun, Nenad Medvidovic;Kakao Corporation Seongnam, University of Massachusetts, University of South California;10;Kousar;S57;;;M1;;GRA, TREE;RTU;DESKTOP;SYNTHETIC;MULTI-USER SINGLE-VIEW;XTEAM;GME;N/A;Generic;Generic;Generic;import;rules;;Architect;HUMAN-HUMAN;REAL-TIME;NO;STRONG EVENTUAL;STATE;NO;EXTERNAL: MODELS;Centralized;N/A;NO;YES;SEMANTIC;PREVENTIVE;YES;WARNING;SEMIAUTOMATED;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;NO;commit messages;NO;NO;NO;NO;Tech;Architects;VCS, ConflictList;Med;Evaluation study only includes students, teams were small (only 2 students per team) which is not scalable to large teams, ;Not given;;ICSA 2017;International Conference on Software Architecture;2017;IEEE;C;2;61;to provide proactive conflict detection;collaborative design activities  by software architects;;VAL_EXP;;;YES;6.0;;;;;;;;;;;;;;;;;;;;;
C19;Trols;1;S14;Multifaceted Consistency Checking of Collaborative Engineering Artifacts;Michael Alexander Trols, Atif Mashkoor, Alexander Egyed;Johannes Kepler University, Linz, Austria ;10;Kousar;-;;;M1;;TREE, TAB;NO;BROWSER;PROJECTIVE;MULTI-VIEW MULTI-MODEL;NO;NO;Class diagram, activity diagrams;Generic;Generic;Generic;NO;rules;;User;HUMAN-HUMAN;OFF-LINE AUTOMATED CHANGE PROPAGATION;NO;EVENTUAL;CHANGE;NO;INTERNAL: MODELS;Centralized;N/A;NO;NO;SEMANTIC;PREVENTIVE;YES: INCREMENTAL;WARNING;MANUAL;REMOTE;CENTRALIZED: SINGLE SERVER;ASYNCHRONOUS;NO;NO;NO;NO;NO;NO;Tech;Modelers;NO;Low;"Approach incurs additional overhead of transforming each artifact into syntactically equivalent form. 
";"expand on mechanism for distributing consistency feedback.
introduce ways to only propagate consistency feedback which is relevant. ";collaborative engineering, engineering artifacts, consistency checking;MODELS-C;International Conference on Model Engineering Languages and Systems Companion;2019;ACM/IEEE;C;4;24;to check consistency of engineers' artifacts against the work results of other engineers;Generic;;VAL_EXP;;;NO;6.0;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
